"accel_x","accel_y","accel_z","mag_x","mag_y","mag_z","gyro_x","gyro_y","gyro_z","t","h","time"
"-0.02","-0.3","10.32","-0.02","-0.3","10.32","0.8672","-0.0703","0.5078","18.4","52.8","2019-10-02T21:50:28"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","0.7891","-0.0234","0.5312","18.4","52.6","2019-10-02T21:50:38"
"0.0","-0.28","10.31","0.0","-0.28","10.31","0.5234","0.1562","0.4609","18.4","52.7","2019-10-02T21:50:48"
"0.0","-0.29","10.32","0.0","-0.29","10.32","0.6719","0.3672","0.4141","18.4","52.6","2019-10-02T21:50:58"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","1.4453","0.4453","0.5391","18.4","52.6","2019-10-02T21:51:08"
"0.0","-0.28","10.3","0.0","-0.28","10.3","1.0547","0.1875","0.6719","18.4","52.5","2019-10-02T21:51:18"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","1.0938","0.1328","0.375","18.4","52.6","2019-10-02T21:51:28"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","1.0547","0.0469","0.7188","18.4","52.6","2019-10-02T21:51:38"
"-0.0","-0.29","10.31","-0.0","-0.29","10.31","1.2188","0.4609","0.6953","18.4","52.7","2019-10-02T21:51:49"
"-0.01","-0.29","10.31","-0.01","-0.29","10.31","0.8906","-0.0078","0.6016","18.4","52.7","2019-10-02T21:51:59"
"-0.02","-0.28","10.32","-0.02","-0.28","10.32","0.6406","-0.2188","0.6641","18.4","52.7","2019-10-02T21:52:09"
"-0.0","-0.29","10.3","-0.0","-0.29","10.3","0.9062","0.4219","0.5547","18.4","52.7","2019-10-02T21:52:19"
"-0.03","-0.29","10.3","-0.03","-0.29","10.3","0.4062","-0.2188","0.5938","18.4","52.8","2019-10-02T21:52:29"
"-0.01","-0.28","10.35","-0.01","-0.28","10.35","1.0","0.1562","0.7422","18.4","52.5","2019-10-02T21:52:39"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.8672","0.0469","0.7891","18.4","52.7","2019-10-02T21:52:49"
"-0.02","-0.28","10.3","-0.02","-0.28","10.3","0.6875","0.0859","0.8125","18.4","52.5","2019-10-02T21:52:59"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.8672","0.1562","0.7812","18.4","52.3","2019-10-02T21:53:09"
"-0.02","-0.29","10.34","-0.02","-0.29","10.34","1.2188","-0.0938","0.75","18.4","52.5","2019-10-02T21:53:20"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.5859","-0.2578","0.6875","18.4","52.5","2019-10-02T21:53:30"
"-0.04","-0.27","10.33","-0.04","-0.27","10.33","0.4531","0.3203","0.4375","18.4","52.5","2019-10-02T21:53:40"
"0.01","-0.34","10.47","0.01","-0.34","10.47","0.9844","0.1328","0.6016","18.4","52.5","2019-10-02T21:53:50"
"-0.02","-0.29","10.31","-0.02","-0.29","10.31","1.2578","0.0469","0.6172","18.4","52.6","2019-10-02T21:55:56"
"-0.03","-0.29","10.33","-0.03","-0.29","10.33","0.7266","0.3047","0.6719","18.4","52.3","2019-10-02T21:56:19"
"-0.0","-0.28","10.32","-0.0","-0.28","10.32","0.6484","0.1641","0.4844","18.4","52.4","2019-10-02T21:56:30"
"-0.02","-0.31","10.3","-0.02","-0.31","10.3","0.6562","0.2344","0.6406","18.4","52.4","2019-10-02T21:56:40"
